[(1203.0, 693.0), (2314.0, 691.0), (3540.0, 1698.5), (38.5, 1771.5)]
[(1203.0, 693.0), (2314.0, 692.0), (3540.0, 1699.5), (38.5, 1771.5)]
[(1203.0, 693.0), (2314.0, 692.0), (3540.0, 1699.5), (37.5, 1771.5)]
[(1203.0, 693.0), (2314.0, 692.0), (3540.0, 1699.5), (38.5, 1772.5)]
[(1204.0, 693.0), (2314.0, 692.0), (3540.0, 1699.5), (38.5, 1772.5)]
[(1204.0, 693.0), (2314.0, 692.0), (3540.0, 1699.5), (37.5, 1772.5)]
[(1204.0, 693.0), (2315.0, 692.0), (3540.0, 1699.5), (38.5, 1772.5)]
[(1204.0, 693.0), (2315.0, 692.0), (3540.0, 1699.5), (37.5, 1772.5)]
[(1203.0, 694.0), (2315.0, 692.0), (3540.0, 1699.5), (37.5, 1772.5)]
[(1203.0, 693.0), (2314.0, 692.0), (3540.0, 1699.5), (37.5, 1772.5)]
[(1203.0, 693.0), (2314.0, 692.0), (3539.0, 1699.5), (37.5, 1772.5)]
[(1203.0, 693.0), (2314.0, 692.0), (3539.5, 1699.0), (37.5, 1772.5)]
[(1203.0, 693.0), (2314.0, 692.0), (3539.0, 1699.5), (37.5, 1772.5)]
[(1203.0, 693.0), (2314.0, 692.0), (3539.5, 1699.0), (36.5, 1772.5)]
[(1204.0, 693.0), (2314.0, 692.0), (3539.0, 1699.5), (37.5, 1772.5)]
[(1203.0, 693.0), (2314.0, 692.0), (3539.5, 1699.0), (36.5, 1771.5)]
[(1203.0, 693.0), (2314.0, 692.0), (3539.0, 1699.5), (37.5, 1772.5)]
[(1203.0, 693.0), (2314.0, 692.0), (3539.0, 1698.5), (36.5, 1772.5)]
[(1203.0, 693.0), (2314.0, 692.0), (3538.5, 1699.0), (36.5, 1772.5)]
[(1203.0, 693.0), (2314.0, 692.0), (3538.5, 1699.0), (36.5, 1772.5)]
[(1203.0, 693.0), (2314.0, 692.0), (3538.5, 1698.0), (36.5, 1771.5)]
[(1204.0, 693.0), (2314.0, 692.0), (3538.5, 1698.0), (36.5, 1772.5)]
[(1203.0, 693.0), (2314.0, 692.0), (3538.5, 1698.0), (36.5, 1772.5)]
[(1202.0, 694.0), (2314.0, 692.0), (3538.5, 1698.0), (36.5, 1771.5)]
[(1203.0, 693.0), (2314.0, 692.0), (3538.5, 1698.0), (37.5, 1772.5)]
[(1203.0, 693.0), (2314.0, 692.0), (3538.5, 1698.0), (36.5, 1771.5)]
[(1203.0, 693.0), (2314.0, 692.0), (3538.5, 1698.0), (37.0, 1772.0)]
[(1203.0, 693.0), (2314.0, 692.0), (3538.5, 1698.0), (37.0, 1772.0)]
[(1203.0, 694.0), (2314.0, 692.0), (3538.5, 1698.0), (37.0, 1772.0)]
[(1203.0, 694.0), (2314.0, 692.0), (3538.5, 1698.0), (37.0, 1772.0)]
[(1203.0, 694.0), (2314.0, 692.0), (3539.5, 1698.0), (37.0, 1772.0)]
[(1203.0, 693.0), (2314.0, 692.0), (3539.0, 1698.5), (37.0, 1772.0)]
[(1203.0, 694.0), (2314.0, 692.0), (3539.5, 1698.0), (37.0, 1772.0)]
[(1203.0, 693.0), (2314.0, 692.0), (3538.5, 1697.5), (37.0, 1772.0)]
